,PROC_NUM,PARCEL_NO,ADDRESS,DATE,CONST_COST,ADMIN_COST,CAT_CODE,UNITS_VAL,PED_ORIENTED,LAND USE,UNITS
1143,C2019107960-0,3031210150100,2791 NW 51 ST,3/25/2019,2921.78,58.43,231-00,-1,1,Duplex,unit
3415,C2019147225-0,3031210150260,2757 NW 50 ST,5/15/2019,7535.53,150.71,210-00,1,1,Single Family Detached,unit
3425,C2019129765-0,3031210150270,2761 NW 50 ST,4/19/2019,0,0,210-00,1,1,Single Family Detached,unit
3426,C2019129765-0,3031210150270,2761 NW 50 ST,4/19/2019,0,0,210-00,-1,1,Single Family Detached,unit
3412,C2020019319-0,3031210160120,3100 NW 53 ST,11/7/2019,0,155.58,210-00,1,1,Single Family Detached,unit
3411,C2019110555-0,3031210160150,3127 NW 52 ST,4/17/2019,0,0,210-00,0,0,Single Family Detached,unit
3441,C2020012568-0,3031210180120,3237 NW 45 ST,10/29/2019,0,0,210-00,1,0,Single Family Detached,unit
3442,C2020012568-0,3031210180120,3237 NW 45 ST,10/29/2019,0,0,210-00,-1,0,Single Family Detached,unit
3422,C2019230636-0,3031210190040,3210 NW 50 ST,9/24/2019,4386.22,87.73,210-00,1,0,Single Family Detached,unit
3423,C2019230636-0,3031210190040,3210 NW 50 ST,9/24/2019,4386.22,87.73,210-00,-0.5,0,Single Family Detached,unit
3409,C2020018899-0,3031210260162,2795 NW 45 ST,11/8/2019,7779.24,155.58,210-00,1,1,Single Family Detached,unit
3427,C2019191626-0,3031210260190,2747 NW 45 ST,7/11/2019,7535.53,150.71,210-00,1,1,Single Family Detached,unit
3436,C2020030831-0,3031210261090,2785 NW 44 ST,12/3/2019,0,0,210-00,1,0,Single Family Detached,unit
3437,C2020030831-0,3031210261090,2785 NW 44 ST,12/3/2019,0,0,210-00,-1,0,Single Family Detached,unit
3418,C2019088179-0,3031210261690,2954 NW 44 ST,2/22/2019,0,0,210-00,1,0,Single Family Detached,unit
3419,C2019088179-0,3031210261690,2954 NW 44 ST,2/22/2019,0,0,210-00,-1,0,Single Family Detached,unit
3445,C2019229043-0,3031210280030,3026 NW 46 ST,9/19/2019,8772.45,175.45,210-00,1,0,Single Family Detached,unit
3428,C2019190998-0,3031210280240,3055 NW 45 ST,7/15/2019,0,0,210-00,1,0,Single Family Detached,unit
3429,C2019190998-0,3031210280240,3055 NW 45 ST,7/15/2019,0,0,210-00,-1,0,Single Family Detached,unit
