file,year,county,url
GIS,2011,Osceola,ftp://sdrftp03.dor.state.fl.us/Map Data/00_2011/59 Osceola.zip
GIS,2011,Palm Beach,ftp://sdrftp03.dor.state.fl.us/Map Data/00_2011/60 Palm Beach.zip
GIS,2011,Pasco,ftp://sdrftp03.dor.state.fl.us/Map Data/00_2011/61 Pasco.zip
GIS,2011,Pinellas,ftp://sdrftp03.dor.state.fl.us/Map Data/00_2011/62 Pinellas.zip
GIS,2011,Polk,ftp://sdrftp03.dor.state.fl.us/Map Data/00_2011/63 Polk.zip
GIS,2011,Putnam,ftp://sdrftp03.dor.state.fl.us/Map Data/00_2011/64 Putnam.zip
GIS,2011,St. Johns,ftp://sdrftp03.dor.state.fl.us/Map Data/00_2011/65 St Johns.zip
GIS,2011,St. Lucie,ftp://sdrftp03.dor.state.fl.us/Map Data/00_2011/66 St Lucie.zip
GIS,2011,Santa Rosa,ftp://sdrftp03.dor.state.fl.us/Map Data/00_2011/67 Santa Rosa.zip
GIS,2011,Sarasota,ftp://sdrftp03.dor.state.fl.us/Map Data/00_2011/68 Sarasota.zip
GIS,2011,Seminole,ftp://sdrftp03.dor.state.fl.us/Map Data/00_2011/69 Seminole.zip
GIS,2011,Sumter,ftp://sdrftp03.dor.state.fl.us/Map Data/00_2011/70 Sumter.zip
GIS,2011,Suwannee,ftp://sdrftp03.dor.state.fl.us/Map Data/00_2011/71 Suwannee.zip
GIS,2011,Taylor,ftp://sdrftp03.dor.state.fl.us/Map Data/00_2011/72 Taylor.zip
GIS,2011,Union,ftp://sdrftp03.dor.state.fl.us/Map Data/00_2011/73 Union.zip
GIS,2011,Volusia,ftp://sdrftp03.dor.state.fl.us/Map Data/00_2011/74 Volusia.zip
GIS,2011,Wakulla,ftp://sdrftp03.dor.state.fl.us/Map Data/00_2011/75 Wakulla.zip
GIS,2011,Walton,ftp://sdrftp03.dor.state.fl.us/Map Data/00_2011/76 Walton.zip
GIS,2011,Washington,ftp://sdrftp03.dor.state.fl.us/Map Data/00_2011/77 Washington.zip
GIS,2012,Alachua,ftp://sdrftp03.dor.state.fl.us/Map Data/00_2012/11 Alachua.zip
GIS,2012,Baker,ftp://sdrftp03.dor.state.fl.us/Map Data/00_2012/12 Baker.zip
GIS,2012,Bay,ftp://sdrftp03.dor.state.fl.us/Map Data/00_2012/13 Bay.zip
GIS,2012,Bradford,ftp://sdrftp03.dor.state.fl.us/Map Data/00_2012/14 Bradford.zip
GIS,2012,Brevard,ftp://sdrftp03.dor.state.fl.us/Map Data/00_2012/15 Brevard.zip
GIS,2012,Broward,ftp://sdrftp03.dor.state.fl.us/Map Data/00_2012/16 Broward.zip
GIS,2012,Calhoun,ftp://sdrftp03.dor.state.fl.us/Map Data/00_2012/17 Calhoun.zip
GIS,2012,Charlotte,ftp://sdrftp03.dor.state.fl.us/Map Data/00_2012/18 Charlotte.zip
